"","survey","year","survey_name","canonical_name","canonical_operator"
"1","SFMTA",2014,"AC 1 Berkeley BART to Bay Fair BART","1 Berkeley BART to Bay Fair BART","AC Transit"
"2","SFMTA",2014,"AC 11 Dimond District Oakland","11 Dimond District Oakland","AC Transit"
"3","SFMTA",2014,"AC 12 Berkeley BART to Downtown Oakland","12 Berkeley BART to Downtown Oakland","AC Transit"
"4","SFMTA",2014,"AC 14 Downtown Oakland to Fruitvale BART","14 Downtown Oakland to Fruitvale BART","AC Transit"
"5","SFMTA",2014,"AC 18 University Village Albany to Montclair","18 University Village Albany to Montclair","AC Transit"
"6","SFMTA",2014,"AC 20 Dimond District Oakland to downtown Oakland","20 Dimond District Oakland to downtown Oakland","AC Transit"
"7","SFMTA",2014,"AC 200 Union City BART Fremont BART","200 Union City BART Fremont BART","AC Transit"
"8","SFMTA",2014,"AC 212 Fremont BART to NewPark Mall","212 Fremont BART to NewPark Mall","AC Transit"
"9","SFMTA",2014,"AC 217 Fremont BART to Great Mall","217 Fremont BART to Great Mall","AC Transit"
"10","SFMTA",2014,"AC 22 Hayward BART","22 Hayward BART","AC Transit"
"11","SFMTA",2014,"AC 239 Fremont BART to Warm Springs Blvd. & Dixon Landing Rd.","239 Fremont BART to Warm Springs Blvd. & Dixon Landing Rd.","AC Transit"
"12","SFMTA",2014,"AC 26 Emery Bay Public Market to Lakeshore Ave.","26 Emery Bay Public Market to Lakeshore Ave.","AC Transit"
"13","SFMTA",2014,"AC 376 El Cerrito Del Norte BART to Richmond Parkway Transit Center","376 El Cerrito Del Norte BART to Richmond Parkway Transit Center","AC Transit"
"14","SFMTA",2014,"AC 386 Hayward BART to Sabre St. & Mack St. (AC Transit Hayward Division)","386 Hayward BART to Sabre St. & Mack St. (AC Transit Hayward Division)","AC Transit"
"15","SFMTA",2014,"AC 40 Downtown Oakland to Bay Fair BART","40 Downtown Oakland to Bay Fair BART","AC Transit"
"16","SFMTA",2014,"AC 45 Eastmont Transit Center to Foothill Square Oakland","45 Eastmont Transit Center to Foothill Square Oakland","AC Transit"
"17","SFMTA",2014,"AC 46 Coliseum BART to Oakland Zoo","46 Coliseum BART to Oakland Zoo","AC Transit"
"18","SFMTA",2014,"AC 46L Coliseum BART - Mountain - Golf Links Rd - Dunkirk Ave","46L Coliseum BART - Mountain - Golf Links Rd - Dunkirk Ave","AC Transit"
"19","SFMTA",2014,"AC 47 Fruitvale BART to Maxwell Park","47 Fruitvale BART to Maxwell Park","AC Transit"
"20","SFMTA",2014,"AC 48 Hayward BART to Bay Fair BART","48 Hayward BART to Bay Fair BART","AC Transit"
"21","SFMTA",2014,"AC 49 Rockridge BART to Berkeley BART","49 Rockridge BART to Berkeley BART","AC Transit"
"22","SFMTA",2014,"AC 51A Rockridge BART to Fruitvale BART","51A Rockridge BART to Fruitvale BART","AC Transit"
"23","SFMTA",2014,"AC 51B Rockridge BART to Berkeley Amtrak","51B Rockridge BART to Berkeley Amtrak","AC Transit"
"24","SFMTA",2014,"AC 54 Fruitvale BART to Merritt College","54 Fruitvale BART to Merritt College","AC Transit"
"25","SFMTA",2014,"AC 57 Emeryville to Foothill Square Oakland","57 Emeryville to Foothill Square Oakland","AC Transit"
"26","SFMTA",2014,"AC 60 Hayward BART to Cal State East Bay","60 Hayward BART to Cal State East Bay","AC Transit"
"27","SFMTA",2014,"AC 62 West Oakland BART to Fruitvale BART","62 West Oakland BART to Fruitvale BART","AC Transit"
"28","SFMTA",2014,"AC 65 Berkeley BART to Lawrence Hall of Science","65 Berkeley BART to Lawrence Hall of Science","AC Transit"
"29","SFMTA",2014,"AC 7 El Cerrito del Norte BART","7 El Cerrito del Norte BART","AC Transit"
"30","SFMTA",2014,"AC 70 Richmond BART to Richmond Pkwy. Transit Center","70 Richmond BART to Richmond Pkwy. Transit Center","AC Transit"
"31","SFMTA",2014,"AC 72 Hilltop Mall to Oakland Amtrak","72 Hilltop Mall to Oakland Amtrak","AC Transit"
"32","SFMTA",2014,"AC 72M Point Richmond to Oakland Amtrak","72M Point Richmond to Oakland Amtrak","AC Transit"
"33","SFMTA",2014,"AC 72R San Pablo Rapid -- Contra Costa College to Jack London Square","72R San Pablo Rapid -- Contra Costa College to Jack London Square","AC Transit"
"34","SFMTA",2014,"AC 73 Eastmont Transit Center to Oakland Airport","73 Eastmont Transit Center to Oakland Airport","AC Transit"
"35","SFMTA",2014,"AC 74 Marina Bay Richmond to San Pablo Dam Rd. El Sobrante","74 Marina Bay Richmond to San Pablo Dam Rd. El Sobrante","AC Transit"
"36","SFMTA",2014,"AC 75 San Leandro BART to Bay Fair BART","75 San Leandro BART to Bay Fair BART","AC Transit"
"37","SFMTA",2014,"AC 76 El Cerrito del Norte BART to Hilltop Mall","76 El Cerrito del Norte BART to Hilltop Mall","AC Transit"
